time_s,beta_deg
0.000000000000000e+00,-7.787971083495289e+01
1.257480755794800e+00,8.674702111223112e+01
2.514961511589600e+00,8.664609582292492e+01
3.772442267384400e+00,8.665202363432165e+01
5.029923023179200e+00,8.662062049934570e+01
6.287403778974000e+00,8.657624883119924e+01
7.544884534768800e+00,8.659811437192992e+01
8.802365290563600e+00,8.658945921924551e+01
1.005984604635840e+01,8.661561020800556e+01
1.131732680215320e+01,8.657780705870798e+01
1.257480755794800e+01,8.662520827068582e+01
1.383228831374280e+01,8.662030172299744e+01
1.508976906953760e+01,8.652653713572904e+01
1.634724982533240e+01,8.666823292183395e+01
1.760473058112720e+01,8.662264709006581e+01
1.886221133692200e+01,8.653617673494668e+01
2.011969209271680e+01,8.668217676099007e+01
2.137717284851160e+01,8.663391970559344e+01
2.263465360430640e+01,8.659571735256350e+01
2.389213436010120e+01,8.654340531566693e+01
2.514961511589600e+01,8.660684255603196e+01
2.640709587169080e+01,8.656907626903272e+01
2.766457662748560e+01,8.664289563474605e+01
2.892205738328040e+01,8.663188480399988e+01
3.017953813907520e+01,8.663543513709557e+01
3.143701889487000e+01,8.663405874362412e+01
3.269449965066480e+01,-8.568837871729794e+01
3.395198040645960e+01,-5.808969788126046e+01
3.520946116225440e+01,8.665902884175738e+01
3.646694191804920e+01,8.669315796153792e+01
3.772442267384400e+01,8.667504984412705e+01
3.898190342963880e+01,-8.072273924024759e+01
4.023938418543360e+01,8.663022567212181e+01
4.149686494122840e+01,8.691310315179609e+01
4.275434569702320e+01,-8.586359721334718e+01
4.401182645281800e+01,-8.578669568921001e+01
4.526930720861280e+01,-8.568479554738495e+01
4.652678796440760e+01,-8.580893818385660e+01
4.778426872020240e+01,-8.576966707117127e+01
4.904174947599720e+01,-8.598468393649985e+01
5.029923023179200e+01,-8.604150307858860e+01
5.155671098758680e+01,-8.605653388367965e+01
5.281419174338160e+01,-8.611523910598474e+01
5.407167249917640e+01,-8.616172282784611e+01
5.532915325497120e+01,-8.617885770240015e+01
5.658663401076600e+01,-8.620309730813267e+01
5.784411476656080e+01,-8.624225202234508e+01
5.910159552235560e+01,-8.631512404292830e+01
6.035907627815040e+01,-8.629936107413204e+01
6.161655703394520e+01,-8.629095864048045e+01
6.287403778974000e+01,-8.629964188327669e+01
6.413151854553480e+01,-8.637341120915309e+01
6.538899930132960e+01,-8.635605921476052e+01
6.664648005712441e+01,-8.644916236867380e+01
6.790396081291919e+01,-8.637352818860208e+01
6.916144156871400e+01,-8.649924932630822e+01
7.041892232450880e+01,-8.645700633195153e+01
7.167640308030360e+01,-8.636815260754923e+01
7.293388383609840e+01,-8.642262356539204e+01
7.419136459189320e+01,-8.641219509438380e+01
7.544884534768801e+01,-8.229284257691052e+01
